id,C/semester,total sessions,sess/popday,Number of Blocks,Block/pday,Avergae Block size,Norm Block,Early Sessions,Late/day,Combined Score,Rating,Score based Rating,Avg Break,Table,raw_score
24,0.14285714285714285,0.17647058823529413,0.2142857142857143,0.14285714285714285,0.0,0.5333333333644444,0.25,0.2,0.74999999990625,0.346696644793805,0,0,0.0,ISMS_22_2_400_23,-0.7399999999717917
25,0.14285714285714285,0.17647058823529413,0.2142857142857143,0.2857142857142857,0.25,0.2533333333831111,0.0625,0.2,0.5624999999296876,0.6223069717629823,1,1,0.8571428571428571,ISMS_22_2_400_31,-0.42271428570899616
26,0.2857142857142857,0.29411764705882354,0.39285714285714285,0.2857142857142857,0.25,0.44000000003733325,0.25,0.2,0.74999999990625,0.4234554191373342,1,0,0.2857142857142857,ISMS_22_2_400_321,-0.6275714285469536
27,1.0,1.0,1.0,0.8571428571428571,0.8,0.4814814815679012,0.25,0.6,0.46874999994140626,0.6279463787826668,1,1,0.35714285714285715,ISMS_23_2_100,-0.2799781746257296
28,0.7142857142857143,0.8235294117647058,0.7857142857142856,0.5714285714285714,0.3999999999999999,0.6666666668222223,0.25,0.2,0.74999999990625,0.3513730216817132,1,0,0.2857142857142857,ISMS_23_2_200,-0.656571428617887
29,0.8571428571428571,0.7647058823529411,0.7142857142857144,0.5714285714285714,0.3999999999999999,0.6000000000933334,0.25,1.0,0.4999999998125,0.3596368682839208,0,0,0.4761904761904762,ISMS_23_2_300,-0.5506190475812976
30,0.14285714285714285,0.17647058823529413,0.2142857142857143,0.14285714285714285,0.0,0.5333333333644444,0.25,0.6,0.0,0.6056134782199667,1,1,0.0,ISMS_23_2_400_12,-0.38500000001866663
31,0.14285714285714285,0.17647058823529413,0.2142857142857143,0.14285714285714285,0.0,0.5333333333644444,0.5625,0.6,0.0,0.5286905633494843,0,0,0.0,ISMS_23_2_400_23,-0.4787500000186667
32,0.14285714285714285,0.17647058823529413,0.5714285714285714,0.0,0.0,1.0,0.25,0.6,0.0,0.3097085257074673,0,0,0.0,ISMS_23_2_400_31,-0.705
33,0.2857142857142857,0.29411764705882354,0.39285714285714285,0.14285714285714285,0.0,0.7666666666822223,0.5625,0.6,0.0,0.36664153798780663,0,0,0.0,ISMS_23_2_400_321,-0.6187500000093333
34,0.2857142857142857,0.23529411764705882,0.07142857142857148,0.5714285714285714,0.3999999999999999,0.0,0.0,0.2,0.74999999990625,0.8649968768588363,1,1,0.42857142857142855,ISMS_24_1_100,-0.1958571428102679
35,0.8571428571428571,0.8235294117647058,0.7857142857142856,0.42857142857142855,0.19999999999999996,0.9222222220718519,0.5625,0.8,0.5624999999296876,0.0,0,0,0.5714285714285714,ISMS_24_1_200,-0.944476190350812
36,0.5714285714285714,0.5294117647058824,0.4285714285714286,0.5714285714285714,0.3999999999999999,0.3333333331777779,0.25,0.8,0.74999999990625,0.5027883460133346,1,0,0.5714285714285714,ISMS_24_1_300,-0.5151428570026488
37,0.14285714285714285,0.17647058823529413,0.2142857142857143,0.2857142857142857,0.25,0.2533333333831111,0.0625,0.2,0.6250000000468751,0.6568205335245697,1,1,0.2857142857142857,ISMS_24_1_400_12,-0.3968214286247328
38,0.14285714285714285,0.17647058823529413,0.5714285714285714,0.2857142857142857,0.6666666670000001,0.2533333333831111,0.0625,0.2,0.6250000000468751,0.6971948888865941,1,1,0.42857142857142855,ISMS_24_1_400_23,-0.336107142850447
39,0.14285714285714285,0.17647058823529413,0.2142857142857143,0.2857142857142857,0.25,0.2533333333831111,0.0625,0.0,0.6250000000468751,0.6354611971626495,1,1,0.5714285714285714,ISMS_24_1_400_31,-0.41539285719616137
40,0.2857142857142857,0.29411764705882354,0.39285714285714285,0.42857142857142855,0.5,0.2222222221185186,0.0625,0.2,0.6250000000468751,0.720676879550257,1,1,0.42857142857142855,ISMS_24_1_400_321,-0.3074404761516915
41,0.2857142857142857,0.35294117647058826,0.2142857142857143,0.7142857142857143,0.6000000000000001,0.00833333339944448,0.0625,0.8,0.5624999999296876,0.9986541881987929,0,1,0.5714285714285714,ISMS_24_2_100_1,-0.09414285714736753
